,heartrate,RRinterval,RRsd,pNN20,pNN50,RRmad
0,73.70184254606365,814.0909090909091,13.537520556214028,0.2,0.0,10.0
1,60.862214708368555,985.8333333333334,32.723589860119766,0.625,0.0,27.5
2,62.91872997378386,953.6111111111111,58.714364027977645,0.5,0.375,22.500000000000114
3,88.03611738148985,681.5384615384615,2.307692307692308,0.0,0.0,2.5
4,88.35130160399684,679.1071428571429,6.021326892888346,0.0,0.0,3.75
5,63.81281574049455,940.25,9.839334327077214,0.0,0.0,7.5
6,72.8677891250345,823.4090909090909,15.235750692813063,0.3,0.0,10.0
7,88.18541548897683,680.3846153846154,7.956984948298923,0.0,0.0,5.0
8,64.13301662707839,935.5555555555555,12.063361528115813,0.25,0.0,10.0
9,72.62723521320495,826.1363636363636,10.35525977263138,0.1,0.0,7.5
10,76.6773162939297,782.5,18.8469714631644,0.36363636363636365,0.0,8.75
11,86.4026585433398,694.4230769230769,42.326044970446226,0.4166666666666667,0.08333333333333333,25.0
12,86.88387635756057,690.5769230769231,14.8438619195407,0.16666666666666666,0.0,12.5
13,63.86375731772219,939.5,17.204650534085253,0.1111111111111111,0.0,12.5
14,65.21739130434783,920.0,25.51960031034969,0.8888888888888888,0.1111111111111111,15.0
15,70.79646017699115,847.5,13.416407864998739,0.3333333333333333,0.0,11.25
16,71.13985448666128,843.4090909090909,25.074269845091457,0.6,0.1,15.0
17,60.55508830950378,990.8333333333334,45.24623986832742,0.625,0.375,27.5
18,71.50595882990248,839.0909090909091,5.464006945532412,0.0,0.0,2.5
19,45.72880279453795,1312.0833333333333,75.58682461616942,0.8,0.6,58.75
20,59.016393442622956,1016.6666666666666,15.184055965240518,0.25,0.125,10.0
21,51.71020737947751,1160.3125,53.52332289525754,1.0,0.42857142857142855,38.75
22,60.23424428332404,996.1111111111111,105.68632250879061,0.875,0.625,87.5
23,59.35085007727975,1010.9375,17.58628282923938,0.14285714285714285,0.0,13.75
24,68.86657101865136,871.25,61.778333580633266,0.7777777777777778,0.5555555555555556,45.0
25,71.31280388978931,841.3636363636364,23.94035287684308,0.4,0.0,12.5
26,83.26105810928014,720.625,41.18207791827249,0.7272727272727273,0.18181818181818182,31.25
27,61.12054329371817,981.6666666666666,85.08982182245875,0.625,0.625,17.5
28,71.293545773697,841.5909090909091,22.645306740147547,0.5,0.0,22.5
29,72.07207207207207,832.5,34.37758254761643,0.6,0.3,15.0
30,73.74301675977654,813.6363636363636,29.39472038949953,0.5,0.0,25.0
31,88.46044797278141,678.2692307692307,55.793098340970516,0.25,0.0,42.5
32,64.42953020134229,931.25,5.942432162002357,0.0,0.0,5.0
33,80.37957019257605,746.4583333333334,19.45770876941978,0.0,0.0,11.25
34,134.17815877748788,447.1666666666667,198.08219393866668,1.0,1.0,5.0
35,72.90803645401823,822.9545454545455,36.31957557912721,0.6,0.1,25.0
36,93.24009324009324,643.5,40.618140446521345,0.2857142857142857,0.07142857142857142,30.0
37,62.46385193753615,960.5555555555555,11.94767398200365,0.0,0.0,5.0
38,80.22284122562675,747.9166666666666,40.63087564347531,0.45454545454545453,0.0,20.0
39,79.86688851913478,751.25,5.543389456520863,0.0,0.0,3.75
40,66.79654884497634,898.25,9.086390922693123,0.0,0.0,5.0
41,64.76761619190404,926.3888888888889,69.29316856571464,0.875,0.25,32.5
42,75.70977917981072,792.5,112.56016909487417,1.0,0.8181818181818182,68.75
43,741.5730337078652,80.9090909090909,51.98636979659283,1.0,1.0,2.5
44,149.59349593495935,401.0869565217391,165.79981723477582,1.0,1.0,15.0
45,62.99212598425197,952.5,27.284509239574863,0.375,0.25,12.5
46,54.02363534046145,1110.625,18.360538526960475,0.42857142857142855,0.0,12.5
47,71.301247771836,841.5,7.0,0.0,0.0,3.75
48,64.05693950177937,936.6666666666666,52.18822770617061,0.875,0.375,20.0
49,54.29864253393665,1105.0,41.551925346486655,1.0,0.42857142857142855,38.75
50,62.717770034843205,956.6666666666666,8.858454843945541,0.25,0.0,8.75
51,59.24300603400987,1012.7777777777778,24.393887111222394,0.875,0.0,15.0
52,80.40201005025126,746.25,4.621056877670591,0.0,0.0,5.0
53,70.53165909698103,850.6818181818181,4.534076668922728,0.0,0.0,2.5
54,55.445544554455445,1082.142857142857,14.042573750955357,0.16666666666666666,0.0,7.5
55,72.62723521320495,826.1363636363636,30.252040433881866,0.9,0.3,25.0
56,92.71523178807948,647.1428571428571,7.1249776225928585,0.07692307692307693,0.0,6.25
57,69.98939554612937,857.2727272727273,7.8663946817621735,0.1,0.0,2.5
58,48.02744425385935,1249.2857142857142,33.07767605290953,0.6666666666666666,0.5,22.5
59,69.66618287373004,861.25,7.925433742073679,0.0,0.0,5.0
60,83.73590982286635,716.5384615384615,39.00860927581418,0.3333333333333333,0.0,32.5
61,69.34594168636721,865.2272727272727,18.630819574471996,0.1,0.0,17.5
62,67.64374295377678,887.0,33.16247879758086,0.7777777777777778,0.1111111111111111,23.75
63,93.82853951410222,639.4642857142857,20.684245458901362,0.38461538461538464,0.07692307692307693,13.75
64,55.523423944476576,1080.625,20.86975982133,0.5714285714285714,0.14285714285714285,20.0
65,74.11566535654127,809.5454545454545,14.840752470285917,0.1,0.0,10.0
66,64.4776119402985,930.5555555555555,65.31736388351385,0.625,0.5,45.0
67,127.73951158422042,469.70588235294116,187.63207574333038,1.0,1.0,7.5
68,75.05863956215794,799.375,35.38662941941019,0.36363636363636365,0.0,36.25
69,92.44992295839754,649.0,4.636809247747852,0.0,0.0,5.0
