,heartrate,RRinterval,RRsd,pNN20,pNN50,RRmad
1155,50.11746280344558,1197.1875,6.304450313072505,0.14285714285714285,0.0,2.5
1156,99.66260057098364,602.03125,3.0896437395758105,0.0,0.0,1.25
1157,71.50595882990248,839.0909090909091,14.193177269087268,0.1,0.0,12.5
1158,90.71274298056156,661.4285714285714,4.697480870702109,0.0,0.0,5.0
1159,59.966685174902835,1000.5555555555555,9.558139185602924,0.25,0.0,2.5000000000002274
1160,106.16533038429638,565.15625,83.3172998898638,1.0,0.8666666666666667,70.0
1161,148.3771251931994,404.375,86.2145156475018,0.5652173913043478,0.34782608695652173,12.5
1162,92.38969499555819,649.4230769230769,78.14036831090134,0.36363636363636365,0.36363636363636365,32.5
1163,98.28009828009829,610.5,75.40004420865195,1.0,0.7142857142857143,47.5
1164,90.87084560370214,660.2777777777778,82.25506100981505,0.2857142857142857,0.14285714285714285,10.0
1165,77.60711398544866,773.125,32.11510872367293,0.18181818181818182,0.18181818181818182,5.0
1166,99.77827050997782,601.3333333333334,1.545603082582617,0.0,0.0,0.0
1167,56.074766355140184,1070.0,27.21442632134655,0.7142857142857143,0.14285714285714285,18.75
1168,80.10269576379974,749.0384615384615,4.1065685584735805,0.0,0.0,2.5
1169,64.22836752899197,934.1666666666666,177.38063278974087,1.0,1.0,147.5
1170,3428.5714285714284,17.5,5.5901699437494745,0.0,0.0,0.0
1171,106.0187741579238,565.9375,3.5216961467452017,0.0,0.0,2.5
1172,66.40841173215274,903.5,16.170961628796228,0.1111111111111111,0.0,8.75
1173,68.64988558352402,874.0,10.198039027185569,0.1111111111111111,0.0,6.25
1174,57.340058401911335,1046.388888888889,29.956243810095373,0.375,0.25,27.5
1175,113.30186059427938,529.5588235294117,75.82504676070418,0.6875,0.5625,57.5
1176,84.00646203554119,714.2307692307693,93.51771024879466,0.4166666666666667,0.25,65.0
1177,89.08685968819599,673.5,9.367496997597597,0.0,0.0,3.75
1178,72.61724659606656,826.25,29.5222373813368,0.1111111111111111,0.1111111111111111,13.75
1179,118.96686668405948,504.3421052631579,2.6707609381821555,0.0,0.0,2.499999999999943
1180,149.06832298136646,402.5,167.64794461410295,0.9,0.9,32.5
1181,79.62840079628401,753.5,99.67572422611235,0.8888888888888888,0.6666666666666666,65.0
1182,140.7624633431085,426.25,129.07835446312868,1.0,1.0,120.0
1183,73.27227310574521,818.8636363636364,20.542739160866667,0.3,0.0,17.5
1184,108.05084745762713,555.2941176470588,36.24753899294382,0.1875,0.125,2.5
1185,77.69085513892637,772.2916666666666,88.56176242537683,0.5454545454545454,0.18181818181818182,15.0
1186,56.97705091005011,1053.0555555555557,20.06163342807532,0.5,0.0,22.5
1187,67.6056338028169,887.5,56.00099205470481,0.5714285714285714,0.14285714285714285,40.0
1188,56.09661082976237,1069.5833333333333,9.727181274940627,0.25,0.0,5.0
1189,73.86681589255736,812.2727272727273,16.357322014042346,0.2,0.0,12.5
1190,112.14953271028037,535.0,106.2981916852566,0.9411764705882353,0.7647058823529411,90.0
1191,120.86874409820585,496.40625,117.11028706282596,0.9285714285714286,0.7142857142857143,77.5
1192,152.15215215215215,394.3421052631579,246.54299575015835,1.0,0.8666666666666667,135.0
1193,73.53760445682451,815.9090909090909,21.72327844608822,0.2,0.0,17.5
1194,75.21367521367522,797.7272727272727,19.84183325974286,0.6,0.0,17.5
1195,62.35565819861432,962.2222222222222,9.162456945817024,0.125,0.0,5.0
1196,57.233704292527825,1048.3333333333333,4.564354645876384,0.0,0.0,2.5
1197,76.43312101910828,785.0,28.192049706728785,0.36363636363636365,0.09090909090909091,15.0
1198,63.29113924050633,948.0,117.80704562970756,1.0,0.8888888888888888,130.0
1199,85.76140736668499,699.6153846153846,12.513306526921108,0.25,0.0,10.0
1200,62.122519413287314,965.8333333333334,17.19980620045858,0.5,0.0,15.0
1201,85.3625170998632,702.8846153846154,9.397532094515858,0.0,0.0,7.5
1202,77.10843373493977,778.125,6.7796417063637415,0.0,0.0,6.25
1203,167.4418604651163,358.3333333333333,124.68293120284483,1.0,1.0,80.0
1204,68.43455945252353,876.75,59.55092358645666,1.0,0.8888888888888888,66.25
1205,76.49956534337872,784.3181818181819,43.36801959931929,0.6,0.3,15.0
1206,64.22263848006422,934.25,11.127106542133943,0.0,0.0,5.0
1207,56.77114133648728,1056.875,14.40214827725364,0.7142857142857143,0.0,13.75
1208,63.34125098970705,947.25,31.313934597875136,0.3333333333333333,0.0,12.5
1209,100.2227171492205,598.6666666666666,5.542763049438631,0.0,0.0,2.5
1210,75.68988173455979,792.7083333333334,9.323935000250104,0.09090909090909091,0.0,7.5
1211,78.55973813420621,763.75,9.60143218483576,0.09090909090909091,0.0,5.0
1212,78.7746170678337,761.6666666666666,7.8616509433805035,0.0,0.0,2.5
1213,88.67775138558986,676.6071428571429,18.288539123322728,0.3076923076923077,0.0,10.0
1214,91.2981455064194,657.1875,132.1542511376384,1.0,0.8,71.25
1215,61.41597952800682,976.9444444444445,5.371966557170476,0.0,0.0,5.0
1216,80.04446914952752,749.5833333333334,51.16184830732977,0.36363636363636365,0.0,47.5
1217,71.6223548562127,837.7272727272727,58.07963327753449,0.6,0.3,20.0
1218,66.18863761720904,906.5,123.4514074443868,0.4444444444444444,0.4444444444444444,38.75
1219,88.47184986595175,678.1818181818181,166.50856826537523,0.8888888888888888,0.8888888888888888,165.0
1220,67.83493499152063,884.5,12.288205727444508,0.1111111111111111,0.0,12.5
1221,53.097345132743364,1130.0,26.487025125521363,0.7142857142857143,0.14285714285714285,11.25
1222,69.9504517633343,857.75,18.955540087267362,0.3333333333333333,0.0,12.5
1223,86.04522890237176,697.3076923076923,5.138611236879764,0.0,0.0,5.0
1224,72.26738934056007,830.25,41.29845638761817,0.5555555555555556,0.2222222222222222,32.5
1225,86.33093525179856,695.0,114.55893679674233,0.875,0.875,80.0
1226,54.84147386461011,1094.0625,32.95208405776484,0.7142857142857143,0.14285714285714285,36.25
1227,73.8272237887721,812.7083333333334,9.26790684147301,0.0,0.0,8.75
1228,67.49156355455568,889.0,18.0,0.2222222222222222,0.0,7.5
1229,77.64896198436236,772.7083333333334,11.201670882308386,0.09090909090909091,0.0,7.5
1230,67.0391061452514,895.0,32.113081446662825,0.5555555555555556,0.0,26.25
1231,81.78720181749338,733.6111111111111,42.000514400142094,0.8571428571428571,0.14285714285714285,40.0
