,CD,HYP,MI,NORM,STTC,micro avg,macro avg,weighted avg,samples avg
precision,0.8134715025906736,0.7543859649122807,0.7888349514563107,0.8069533394327539,0.7775551102204409,0.7957828973057399,0.7882401737224919,0.7941100989203463,0.7618662351672061
recall,0.6305220883534136,0.49049429657794674,0.5877034358047016,0.9149377593360996,0.7418738049713193,0.7275972866833273,0.6731062770086962,0.7275972866833273,0.7483048235475419
f1-score,0.7104072398190044,0.5944700460829493,0.6735751295336788,0.8575595527467186,0.7592954990215264,0.7601641178664678,0.7190614934407755,0.752022288117779,0.7403628117913832
support,498.0,263.0,553.0,964.0,523.0,2801.0,2801.0,2801.0,2801.0
