Name,Trained against,CV Error,Test Error
Logistic Regression_Filter_ECGDescriptor_Wavelet,Hamming Loss,0.260005947,0.257312723
Logistic Regression_Filter_NoDescriptor_Wavelet,Hamming Loss,0.260005947,0.257312723
Logistic Regression_Filter_ECGDescriptor_Wavelet,ROC,0.138447814,0.157669441
Logistic Regression_Filter_NoDescriptor_Wavelet,ROC,0.131549212,0.160998811
Random Forest_Nofilter_ECGDescriptor_Mini Rocket,Hamming Loss,0.565388046,0.569322235
Random Forest_Nofilter_NoDescriptor_Mini Rocket,Hamming Loss,0.539101992,0.545541023
Random Forest_Nofilter_ECGDescriptor_Mini Rocket,ROC,0.604519774,0.613793103
Random Forest_Nofilter_NoDescriptor_Mini Rocket,ROC,0.576330657,0.590963139
Random Forest_Filter_ECGDescriptor_Mini Rocket,Hamming Loss,0.522093369,0.536504162
Random Forest_Filter_NoDescriptor_Mini Rocket,Hamming Loss,0.573178709,0.577407848
Random Forest_Filter_ECGDescriptor_Mini Rocket,ROC,0.000178412,0.135552913
Random Forest_Filter_NoDescriptor_Mini Rocket,ROC,0.000178412,0.136979786
Random Forest_Filter_ECGDescriptor_Standard,Hamming Loss,0.000237883,0.231629013
Random Forest_Filter_ECGDescriptor_Standard,ROC,0.000178412,0.225445898
Random Forest_Nofilter_ECGDescriptor_Wavelet,Hamming Loss,0.000594707,0.208561237
Random Forest_Nofilter_NoDescriptor_Wavelet,Hamming Loss,0.000416295,0.21117717
Random Forest_Nofilter_ECGDescriptor_Wavelet,ROC,0.000178412,0.168846611
Random Forest_Nofilter_NoDescriptor_Wavelet,ROC,0.000178412,0.167657551
Random Forest_Filter_ECGDescriptor_Wavelet,Hamming Loss,0.000297354,0.195243757
Random Forest_Filter_NoDescriptor_Wavelet,Hamming Loss,0.000416295,0.203804994
Random Forest_Filter_ECGDescriptor_Wavelet,ROC,0.000178412,0.168608799
Random Forest_Filter_NoDescriptor_Wavelet,ROC,0.000178412,0.168133175
Stochastic Gradient_Nofilter_ECGDescriptor_Mini Rocket,Hamming Loss,0.243056795,0.227586207
Stochastic Gradient_Nofilter_NoDescriptor_Mini Rocket,Hamming Loss,0.340767172,0.346016647
Stochastic Gradient_Filter_ECGDescriptor_Mini Rocket,Hamming Loss,0.322093369,0.317479191
Stochastic Gradient_Filter_NoDescriptor_Mini Rocket,Hamming Loss,0.279928635,0.264209275
Stochastic Gradient_Filter_ECGDescriptor_Standard,Hamming Loss,0.244008326,0.235671819
Stochastic Gradient_Nofilter_ECGDescriptor_Wavelet,Hamming Loss,0.221528397,0.214268728
Stochastic Gradient_Nofilter_NoDescriptor_Wavelet,Hamming Loss,0.223490931,0.224256837
Stochastic Gradient_Filter_ECGDescriptor_Wavelet,Hamming Loss,0.233898305,0.240903686
Stochastic Gradient_Filter_NoDescriptor_Wavelet,Hamming Loss,0.224442462,0.234007134
