,classifier,data_stream,ROC_AUC,ROC_AUC_training,hamming_loss,hamming_loss_training,best_params
27,LogisticRegression,fil01-wavelet,0.5,0.5,0.25731272294887036,0.2600059470710675,"{'onevsrestclassifier__estimator__C': 0.001, 'onevsrestclassifier__estimator__penalty': 'l1', 'pipeline__pca': 'passthrough'}"
28,RandomForestClassifier,fil01-wavelet,0.7892071692746738,0.9999998702992766,0.2038049940546968,0.00041629497472494794,"{'onevsrestclassifier__estimator__n_estimators': 50, 'pipeline__pca': PCA(n_components=0.95, svd_solver='full')}"
29,SGDClassifier,fil01-wavelet,,,0.23400713436385256,0.22444246208742194,"{'onevsrestclassifier__estimator__alpha': 0.0001, 'onevsrestclassifier__estimator__penalty': 'l2', 'pipeline__pca': PCA(n_components=0.8, svd_solver='full')}"
30,AdaBoostClassifier,fil02-meta-ecg,0.7226365008797493,0.7432407553209619,0.2202140309155767,0.2206363366042224,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 50}"
31,GaussianNB,fil02-meta-ecg,0.7095392459328721,0.6897883589513606,0.2197384066587396,0.2312815938150461,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full')}"
32,KNeighborsClassifier,fil02-meta-ecg,0.6747512668636929,0.8119534022013024,0.22568370986920333,0.20011894142134998,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 7}"
33,LogisticRegression,fil02-meta-ecg,0.7151431735611673,0.6969508009094082,0.2197384066587396,0.22943800178412133,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1'}"
34,RandomForestClassifier,fil02-meta-ecg,0.6891870956018294,0.9999998702992766,0.22544589774078477,0.0001784121320249777,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 200}"
35,AdaBoostClassifier,fil02-MR-meta-ecg,0.8650315860168615,0.984985212040659,0.14244946492271107,0.06202795123401725,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 100}"
36,GaussianNB,fil02-MR-meta-ecg,0.8389818894513865,0.825966084331767,0.18739595719381688,0.20428189116859946,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full')}"
37,KNeighborsClassifier,fil02-MR-meta-ecg,0.8182065073527885,0.9219513955442096,0.16361474435196194,0.14189711567053226,"{'columntransformer__num__pca': PCA(n_components=0.8, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 7}"
38,LogisticRegression,fil02-MR-meta-ecg,0.6108664665689207,0.6237127579381749,0.42187871581450653,0.4225393993458222,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__C': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1'}"
39,RandomForestClassifier,fil02-MR-meta-ecg,0.8872225423772679,0.9999998702992766,0.13555291319857313,0.0001784121320249777,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 200}"
40,AdaBoostClassifier,fil02-MR,0.8718810721669137,0.9847292050805271,0.1417360285374554,0.06303895331549211,"{'onevsrestclassifier__estimator__n_estimators': 100, 'pipeline__pca': 'passthrough'}"
41,GaussianNB,fil02-MR,0.8381671766772698,0.8251182009331561,0.187871581450654,0.20564971751412428,"{'pipeline__pca': PCA(n_components=0.8, svd_solver='full')}"
42,KNeighborsClassifier,fil02-MR,0.8188221813425587,0.9216791232506691,0.16361474435196194,0.1423134106452572,"{'onevsrestclassifier__estimator__n_neighbors': 7, 'pipeline__pca': PCA(n_components=0.8, svd_solver='full')}"
43,LogisticRegression,fil02-MR,0.6007929442287339,0.6097882220583094,0.40856123662306776,0.416176033303598,"{'onevsrestclassifier__estimator__C': 0.1, 'onevsrestclassifier__estimator__penalty': 'l1', 'pipeline__pca': 'passthrough'}"
44,RandomForestClassifier,fil02-MR,0.8889649447473686,0.9999998702992766,0.13697978596908442,0.0001784121320249777,"{'onevsrestclassifier__estimator__n_estimators': 200, 'pipeline__pca': 'passthrough'}"
45,AdaBoostClassifier,fil02-wavelet-meta-ecg,0.8328313041136193,0.9577527056803319,0.17384066587395958,0.10383586083853702,"{'columntransformer__num__pca': 'passthrough', 'onevsrestclassifier__estimator__n_estimators': 100}"
46,GaussianNB,fil02-wavelet-meta-ecg,0.7549147044091796,0.7382940217828473,0.23781212841854935,0.25899494498959263,{'columntransformer__num__pca': 'passthrough'}
47,KNeighborsClassifier,fil02-wavelet-meta-ecg,0.7763986319278392,0.9028397968191223,0.19096313912009513,0.16663693131132917,"{'columntransformer__num__pca': PCA(n_components=0.95, svd_solver='full'), 'onevsrestclassifier__estimator__n_neighbors': 7}"
